"","date","fed","stock","market","trump","bank","rate","big","cramer","share","new","year","ceo","job","investor","high","apple","hike","tax","earning","rise","report","facebook","china","growth","analyst","trade","street","economy","good","buy","wall","plan","time","amazon","fall","company","hit","bitcoin","dollar","low","tech","yellen","expect","rally","price","iphone","central","early","start","cut","billion","datum","deal","economic","update","need","google","week","bond","ed","policy","oil","business","inflation","mover","sale","op","look","beat","raise","million","like","strategist","trader","sell","goldman","want","twitter","hour","global","fund","ahead","surge","jump","change","gold","chair","come","watch","drop","gain","ecb","day","yield","Date","Open","High","Low","Close","Adj.Close","Volume","Date_prev","pre_close","Rise"
"1"," 1 Aug 2016",2,9,5,3,2,2,1,2,4,0,1,4,0,1,1,1,2,0,0,1,0,0,0,5,3,2,2,5,2,4,2,0,2,0,0,0,5,0,1,7,2,0,2,3,1,0,0,2,0,0,1,1,2,4,0,0,0,0,0,4,0,2,0,0,2,0,1,0,1,0,0,5,0,1,0,0,0,0,1,1,1,1,2,0,0,0,0,3,0,0,1,0,1,0,"2016-08-02",18401.150391,18403.650391,18247.789063,18313.769531,18313.769531,89680000," 1 Aug 2016",18404.509766,"False"
"2"," 1 Aug 2017",1,12,10,8,10,5,1,4,3,9,13,0,1,14,1,18,0,0,3,3,4,1,5,6,4,5,2,3,1,3,2,1,3,6,3,4,7,3,1,2,5,0,3,0,1,5,3,2,3,2,3,2,2,3,0,2,0,1,2,10,3,2,0,1,2,8,5,0,0,0,3,0,0,2,8,1,2,0,1,3,1,1,0,0,0,1,2,6,3,3,0,0,4,0,"2017-08-02",22004.359375,22036.099609,21967.460938,22016.240234,22016.240234,336820000," 1 Aug 2017",21963.919922,"True"
"3"," 1 Dec 2016",4,3,5,10,2,4,3,3,2,4,5,3,2,0,1,0,2,4,1,0,2,0,1,3,2,4,0,0,2,3,0,1,0,0,2,1,3,0,0,4,2,0,1,1,1,0,0,1,0,2,1,0,1,0,0,1,2,0,3,7,0,0,0,0,1,3,5,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,2,3,0,0,0,"2016-12-02",19161.25,19196.140625,19141.179688,19170.419922,19170.419922,84920000," 1 Dec 2016",19191.929688,"False"
"4"," 1 Feb 2016",7,5,15,1,5,0,4,3,0,0,4,3,0,0,3,0,0,0,4,0,0,0,3,2,8,2,0,0,2,0,0,1,1,0,0,0,1,0,0,0,2,0,1,3,1,0,0,3,0,2,0,0,1,0,0,0,0,1,1,16,0,6,0,0,2,0,9,0,1,2,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,"2016-02-02",16420.210938,16420.210938,16108.44043,16153.540039,16153.540039,126210000," 1 Feb 2016",16449.179688,"False"
"5"," 1 Feb 2017",60,2,7,26,8,14,0,3,5,4,8,2,2,2,5,4,11,0,4,2,0,3,1,3,1,5,2,6,0,1,2,7,6,1,3,3,0,0,2,3,2,0,6,1,1,1,0,0,9,0,0,2,0,10,0,0,0,0,0,78,10,1,0,0,0,1,18,0,0,0,0,0,0,4,0,0,0,0,4,1,0,0,0,0,6,2,0,3,3,0,2,0,4,2,"2017-02-02",19858.339844,19922.75,19831.089844,19884.910156,19884.910156,347220000," 1 Feb 2017",19890.939453,"False"
"6"," 1 Feb 2018",11,14,18,6,5,15,8,9,6,6,15,9,17,4,8,14,0,8,17,14,6,22,5,6,2,3,4,3,3,0,3,11,12,11,13,5,8,3,5,7,6,0,10,3,10,5,3,4,0,5,5,3,2,1,8,0,3,3,0,36,0,2,3,0,0,1,30,0,3,1,5,2,3,0,10,1,4,0,6,2,5,3,6,1,5,4,3,0,4,10,3,0,8,0,"2018-02-02",26061.789063,26061.789063,25490.660156,25520.960938,25520.960938,522880000," 1 Feb 2018",26186.710938,"False"
"7"," 1 Jan 2018",0,1,1,1,2,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018-01-02",24809.349609,24864.189453,24741.699219,24824.009766,24824.009766,341130000," 1 Jan 2018",24719.220703,"True"
"8"," 1 Jun 2016",5,4,4,0,10,1,5,5,5,3,3,0,2,0,0,0,0,0,4,1,0,4,1,0,4,1,5,0,4,1,3,0,5,2,0,0,0,0,0,1,4,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0,9,0,1,0,0,2,2,7,4,4,0,0,0,1,0,2,0,0,0,5,1,2,1,1,0,1,1,0,0,1,0,1,0,5,0,"2016-06-02",17789.050781,17838.560547,17703.550781,17838.560547,17838.560547,75560000," 1 Jun 2016",17789.669922,"True"
"9"," 1 Jun 2017",20,6,7,7,17,23,1,2,4,20,20,6,14,1,3,0,7,3,0,3,10,1,13,6,4,0,0,9,0,2,0,14,6,0,0,4,2,0,0,4,1,0,3,3,0,0,8,5,8,10,0,0,1,0,0,4,4,3,2,35,2,5,3,2,1,0,15,4,0,7,0,4,1,0,1,0,0,2,1,0,0,0,5,3,4,0,2,5,2,2,1,0,0,0,"2017-06-02",21142.089844,21225.039063,21129.560547,21206.289063,21206.289063,329700000," 1 Jun 2017",21144.179688,"True"
"10"," 1 Mar 2016",0,6,5,0,2,0,1,4,1,1,1,2,0,2,2,1,0,0,1,0,0,0,4,2,0,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,2,2,0,0,0,1,0,2,3,0,0,0,2,0,0,2,1,1,0,0,0,1,0,0,0,0,7,0,"2016-03-02",16851.169922,16900.169922,16766.320313,16899.320313,16899.320313,104470000," 1 Mar 2016",16865.080078,"True"
"11"," 1 Mar 2017",14,7,11,19,0,10,3,5,5,1,3,3,6,2,7,0,5,5,2,6,0,1,1,0,1,9,2,8,0,2,0,1,4,0,2,1,5,0,4,4,1,0,0,10,0,0,0,3,3,1,3,0,0,0,0,0,0,0,0,19,0,1,0,0,1,2,15,2,11,0,2,2,1,3,0,1,0,1,3,0,0,0,4,6,2,3,0,0,4,1,0,0,4,0,"2017-03-02",21128.910156,21129.199219,20996.609375,21002.970703,21002.970703,319910000," 1 Mar 2017",21115.550781,"False"
"12"," 1 May 2016",6,0,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2016-05-02",17783.779297,17912.349609,17773.710938,17891.160156,17891.160156,80100000," 1 May 2016",17773.640625,"True"
