"","date","PRON","fed","stock","market","trump","bank","rate","big","cramer","share","new","year","ceo","job","investor","high","apple","hike","tax","earning","rise","report","facebook","china","growth","analyst","trade","street","economy","good","buy","wall","plan","time","amazon","fall","company","hit","bitcoin","dollar","low","tech","yellen","expect","rally","price","iphone","central","early","start","cut","billion","datum","deal","economic","update","need","google","week","bond","ed","policy","oil","business","inflation","mover","sale","op","look","beat","raise","million","like","strategist","trader","sell","goldman","want","twitter","hour","global","fund","ahead","surge","jump","change","gold","chair","come","watch","drop","gain","ecb","day","yield"
"1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2"," 1 April 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"3"," 1 April 2016",2,4,2,2,0,0,7,1,1,0,2,1,2,7,0,1,0,4,0,0,2,2,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,1,0,5,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0
"4"," 1 April 2017",0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
"5"," 1 Aug 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6"," 1 Aug 2016",11,2,9,5,3,2,2,1,2,4,0,1,4,0,1,1,1,2,0,0,1,0,0,0,5,3,2,2,5,2,4,2,0,2,0,0,0,5,0,1,7,2,0,2,3,1,0,0,2,0,0,1,1,2,4,0,0,0,0,0,4,0,2,0,0,2,0,1,0,1,0,0,5,0,1,0,0,0,0,1,1,1,1,2,0,0,0,0,3,0,0,1,0,1,0
"7"," 1 Aug 2017",36,1,12,10,8,10,5,1,4,3,9,13,0,1,14,1,18,0,0,3,3,4,1,5,6,4,5,2,3,1,3,2,1,3,6,3,4,7,3,1,2,5,0,3,0,1,5,3,2,3,2,3,2,2,3,0,2,0,1,2,10,3,2,0,1,2,8,5,0,0,0,3,0,0,2,8,1,2,0,1,3,1,1,0,0,0,1,2,6,3,3,0,0,4,0
"8"," 1 Dec 2014",0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9"," 1 Dec 2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"10"," 1 Dec 2016",3,4,3,5,10,2,4,3,3,2,4,5,3,2,0,1,0,2,4,1,0,2,0,1,3,2,4,0,0,2,3,0,1,0,0,2,1,3,0,0,4,2,0,1,1,1,0,0,1,0,2,1,0,1,0,0,1,2,0,3,7,0,0,0,0,1,3,5,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,2,3,0,0,0
